product_update_id;update_date;product_id;description;update_type_id;creation_date;ts
555;2006-12-05 00:00:00;9;iTunes Store now available for New Zealand (as well as online Apple Store);5;2006-12-05 00:00:00;2008-07-26 03:41:44
557;2006-12-08 00:00:00;40;iPod shuffle software update 1.0.2 available (2nd gen);4;2006-12-08 00:00:00;2008-07-26 03:41:44
558;2006-12-08 00:00:00;28;iPod software update 1.2.1 available (5th gen with video);4;2006-12-08 00:00:00;2008-07-26 03:41:44
559;2006-12-11 00:00:00;44;Aperture 1.5.2 update available;4;2006-12-11 00:00:00;2008-07-26 03:41:44
560;2006-12-19 00:00:00;28;iPod games, 2 new ones added "Sudoku" and "Royal Solitaire";4;2006-12-19 00:00:00;2008-07-26 03:41:44
561;2006-12-19 00:00:00;1;Security Update 2006-008;4;2006-12-19 00:00:00;2008-07-26 03:41:44
562;2007-01-04 00:00:00;20;iChat Update 1.0 (3MB);4;2007-01-04 00:00:00;2008-07-26 03:41:44
563;2007-01-09 00:00:00;48;Apple TV announced at MWSF - include 802.11n, 40GB HDD, available February;5;2007-01-09 00:00:00;2008-07-26 03:41:44
564;2007-01-09 00:00:00;27;Airport Extreme updated, new form factor, 802.11n spec, US$179;5;2007-01-09 00:00:00;2008-07-26 03:41:44
565;2007-01-09 00:00:00;9;iTunes Store now include Paramount movies;5;2007-01-09 00:00:00;2008-07-26 03:41:44
566;2007-01-09 00:00:00;49;iPhone announced MSWF, available US June 2007, 4GB US$499, 8GB US$599, wifi, bt2.0, 2MP camera;5;2007-01-09 00:00:00;2008-07-26 03:41:44
567;2007-01-23 00:00:00;1;Security Update 2007-001;4;2007-01-23 00:00:00;2008-07-26 03:41:44
568;2007-01-23 00:00:00;37;Xserve RAID update - upto 10.5 TB capacity storgage (BTO);4;2007-01-23 00:00:00;2008-07-26 03:41:44
569;2007-01-30 00:00:00;40;iPod shuffle 4 new colours: pink, blue, orange and green;3;2007-01-30 00:00:00;2008-07-26 03:41:44
570;2007-02-15 00:00:00;1;Security Update 2007-002;4;2007-02-15 00:00:00;2008-07-26 03:41:44
571;2007-02-15 00:00:00;1;Java for MacOS10.3 and MacOS10.4 Update 5;4;2007-02-15 00:00:00;2008-07-26 03:41:44
572;2007-02-15 00:00:00;21;Final Cut Pro 5.1.3 update available;4;2007-02-15 00:00:00;2008-07-26 03:41:44
573;2007-02-22 00:00:00;21;Final Cut Pro 5.1.4 update available;4;2007-02-22 00:00:00;2008-07-26 03:41:44
574;2007-03-01 00:00:00;23;DVD Studio Pro 4.1.2 update available;4;2007-03-01 00:00:00;2008-07-26 03:41:44
575;2007-03-05 00:00:00;9;iTunes 7.1 update available - supports Apple TV;3;2007-03-05 00:00:00;2008-07-26 03:41:44
576;2007-03-05 00:00:00;15;QuickTime 7.1.5 update available;4;2007-03-05 00:00:00;2008-07-26 03:41:44
577;2007-03-13 00:00:00;1;10.4.9 update released;3;2007-03-13 00:00:00;2008-07-26 03:41:44
578;2007-03-13 00:00:00;11;iPhoto 6.0.6 update available;4;2007-03-13 00:00:00;2008-07-26 03:41:44
579;2007-03-13 00:00:00;1;Security Update 2007-003 (10.3.9);4;2007-03-13 00:00:00;2008-07-26 03:41:44
580;2007-03-16 00:00:00;9;iTunes 7.1.1 update available;4;2007-03-16 00:00:00;2008-07-26 03:41:44
581;2007-03-21 00:00:00;48;Apple TV begins shipping;1;2007-03-21 00:00:00;2008-07-26 03:41:44
582;2007-04-02 00:00:00;9;EMI and Apple announce DRM free and 256kbps AAC music available May;5;2007-04-02 00:00:00;2008-07-26 03:41:44
583;2007-04-04 00:00:00;35;Price Cuts: 20" US$599, 23" US$899, 30" US$1799;5;2007-04-04 00:00:00;2008-07-26 03:41:44
584;2007-04-04 00:00:00;6;Mac Pro 8 core Xeon 3.0GHz option available (two quad-core processors), upto 3TB of storage;4;2007-04-04 00:00:00;2008-07-26 03:41:44
585;2007-04-12 00:00:00;1;10.5 delayed till October, iPhone as cause, beta available at WWDC in June;5;2007-04-12 00:00:00;2008-07-26 03:41:44
586;2007-04-15 00:00:00;21;Final Cut Pro 6 announced (Final Cut Studio 2), available May 07;2;2007-04-15 00:00:00;2008-07-26 03:41:44
587;2007-04-15 00:00:00;22;Motion 3 announced (Final Cut Studio 2), available May 07;2;2007-04-15 00:00:00;2008-07-26 03:41:44
589;2007-04-15 00:00:00;42;Soundtrack Pro 2 announced (Fianl Cut Studio 2), available May 07;2;2007-04-15 00:00:00;2008-07-26 03:41:44
590;2007-04-15 00:00:00;50;Color 1 introduced, pro color grading and finishing application (Final Cut Studio 2), available May 07;1;2007-04-15 00:00:00;2008-07-26 03:41:44
591;2007-04-15 00:00:00;51;Compressor 3 announced (Final Cut Studio 2), available May 07;2;2007-04-15 00:00:00;2008-07-26 03:41:44
592;2007-04-15 00:00:00;23;DVD Studio Pro 4.2 announced (Final Cut Studio 2), available May 07;3;2007-04-15 00:00:00;2008-07-26 03:41:44
593;2007-04-15 00:00:00;52;Final Cut Server introduced at NAB;5;2007-04-15 00:00:00;2008-07-26 03:41:44
594;2007-04-19 00:00:00;1;Security Update 2007-004;4;2007-04-19 00:00:00;2008-07-26 03:41:44
595;2007-04-19 00:00:00;44;Aperture 1.5.3 update available;4;2007-04-19 00:00:00;2008-07-26 03:41:44
596;2007-05-01 00:00:00;15;QuickTime 7.1.6 update available;4;2007-05-01 00:00:00;2008-07-26 03:41:44
597;2007-05-01 00:00:00;1;Security Update 2007-004 v1.1;4;2007-05-01 00:00:00;2008-07-26 03:41:44
598;2007-05-15 00:00:00;33;MacBook update 2.0GHz or 2.16GHz, 1GB RAM standard, 80GB/120/GB/160GB HDD, 802.11n wireless;3;2007-05-15 00:00:00;2008-07-26 03:41:44
599;2007-05-24 00:00:00;1;Security Update 2007-005;4;2007-05-24 00:00:00;2008-07-26 03:41:44
600;2007-05-29 00:00:00;15;Security Update (QuickTime 7.1.6);4;2007-05-29 00:00:00;2008-07-26 03:41:44
601;2007-05-30 00:00:00;9;iTunes 7.2 released, supports iTunes Plus songs (DRM free);3;2007-05-30 00:00:00;2008-07-26 03:41:44
602;2007-05-31 00:00:00;48;Apple TV 160GB model now available US$399;3;2007-05-31 00:00:00;2008-07-26 03:41:44
603;2007-05-31 00:00:00;48;Apple TV software update coming June, to allow YouTube access;5;2007-05-31 00:00:00;2008-07-26 03:41:44
